codigo,ubicacion,nombre
CVRC,Javier Delgado 301-A Umacollo,CARDIO VET - DR. RICARDO CORNEJO BALLÓN
VAAO,URB LOS ROSALES C-8 Cercado,VETERINARIA AQPAWS - DRA. ANA ORIHUELA
RVFD,Urb. San Pedro C-1 Frente a Promart,REPETS VETERINARIA DRA. FIORELLA DANCE MARES
VZGP,Calle Elías Aguirre #505,VETERINARIA ZAFIRO PETS - DR. GOURVICH PARI ONOFRIO
JCVL,Av. Mariscal Castilla 670,DR. JUAN CARLOS VELA LIZARRAGA - DR. PET
CVS,UBR MELGARIANA D-39,CLINICA VETERINARIA SNOOPY
CVM,AV HARTLEY N-6,CENTRO VETERINARIO MISTICAN
VEBD,JUAN PABLO V Y G B-18,VETERINARIA ENGREÍDOS- BARBER DOG
HMTP,AV PIZARRO C-8,HOSPITAL DE MASCOTAS TERAN - PAUCAPARTA
CVTJ,AV PERU 304,CLINICA VETERINARIA TERAN - JLBR
CIMV,PJE TRISTAN 115,CUIDADOS INTENSIVOS MEDICOS VETERINARIOS
DGLL,AV DANIEL ALCIDES CARRION 196,DOGTOR LALO
TCP,MOTERREY A-7,TECSUP N2
PCPT,Plaza Mayor

DRCH,José Luis Bustamante Y Rivero,DR. CHIHUAHUA
JCP,Calle Místi Nº 502 Miraflores,JUAN CHAVEZ PINTO
DSMB,Urb. Alto de La Luna E- 5 3ra Cuadra Av. Estados Unidos José Luis Bustamante Y Rivero,DRA. SHIRLEY MAMANI BAUTISTA
DACC,Av. Jesus 2005 Paucarpata,DR. ANDY CASTELO CARBAJAR
CVVM,Av. Hartley Manzana N Lote 8 Urb. Santa Catalina José Luis Bustamante Y Rivero,CLINICA VETERINARIA VET MEDIC
BCR,Cesar Vallejo 428-as Miraflores,BETSAIDA CAYRO RIOS
CVPPS,Calle Inglaterra 34 Urb. 13 de enero José Luis Bustamante Y Rivero,CLINICA VETERINARIA PELUSA PET SHOP
VHVA,Av. Progreso 980 Miraflores,VETERINARIA HELP VET AGO


